"name","born","died","borncountry","borncity","bornlong","bornlat","diedcountry","diedcity","diedlong","diedlat","gender","year","category","motivation","institutionname","institutioncity","institutioncountry"
"Karl von Frisch","1886-11-20","1982-06-12","Austria","Vienna",16.3738189,48.2081743,"West Germany (now Germany)","Munich",11.5819805,48.1351253,"male",1973,"medicine","""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""","Zoologisches Institut der Universitat Munchen","Munich","Federal Republic of Germany"
"Otto Stern","1888-02-17","1969-08-17","Germany (now Poland)","Sorau (now Zory)",18.7006401,50.0447236,"USA","Berkeley, CA",-122.272747,37.8715926,"male",1943,"physics","""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""","Carnegie Institute of Technology","Pittsburgh, PA","USA"
"Fritz Haber","1868-12-09","1934-01-29","Prussia (now Poland)","Breslau (now Wroclaw)",17.0385376,51.1078852,"Switzerland","Basel",7.5885761,47.5595986,"male",1918,"chemistry","""for the synthesis of ammonia from its elements""","Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) fur physikalische Chemie und Electrochemie","Berlin-Dahlem","Germany"
"Reinhard Selten","1930-10-05","2016-08-23","Germany (now Poland)","Breslau (now Wroclaw)",17.0385376,51.1078852,"Poland","Poznan",16.9251681,52.406374,"male",1994,"economics","""for their pioneering analysis of equilibria in the theory of non-cooperative games""","Rheinische Friedrich-Wilhelms-Universitat","Bonn","Federal Republic of Germany"
"Albert Abraham Michelson","1852-12-19","1931-05-09","Prussia (now Poland)","Strelno (now Strzelno)",18.1726601,52.62772,"USA","Pasadena, CA",-118.1445155,34.1477849,"male",1907,"physics","""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""","University of Chicago","Chicago, IL","USA"
"Paul Ehrlich","1854-03-14","1915-08-20","Prussia (now Poland)","Strehlen (now Strzelin)",17.0646124,50.7812167,"Germany","Bad Homburg vor der Hohe",8.6181618,50.2268308,"male",1908,"medicine","""in recognition of their work on immunity""","Goettingen University","Gottingen","Germany"
"Paul Ehrlich","1854-03-14","1915-08-20","Prussia (now Poland)","Strehlen (now Strzelin)",17.0646124,50.7812167,"Germany","Bad Homburg vor der Hohe",8.6181618,50.2268308,"male",1908,"medicine","""in recognition of their work on immunity""","Konigliches Institut fur experimentelle Therapie (Royal Institute for Experimental Therapy)","Frankfurt-on-the-Main","Germany"
"Hans Albrecht Bethe","1906-07-02","2005-03-06","Germany (now France)","Strassburg (now Strasbourg)",7.7521113,48.5734053,"USA","Ithaca, NY",-76.5018807,42.4439614,"male",1967,"physics","""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""","Cornell University","Ithaca, NY","USA"
"Wilhelm Conrad Rontgen","1845-03-27","1923-02-10","Prussia (now Germany)","Lennep (now Remscheid)",7.1896963,51.1787418,"Germany","Munich",11.5819805,48.1351253,"male",1901,"physics","""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""","Munich University","Munich","Germany"
"Wilhelm Wien","1864-01-13","1928-08-30","Prussia (now Russia)","Gaffken (now Parusnoye)",142.147781,48.325695,"Germany","Munich",11.5819805,48.1351253,"male",1911,"physics","""for his discoveries regarding the laws governing the radiation of heat""","Wurzburg University","Wurzburg","Germany"
